id,name,description,type,is_collection,property_count,method_count,hierarchy,role
interface_889,SpecsViewer,Represents the specification tree viewer.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Viewer\, \Viewer2D\, \SpecsViewer\",Unknown
interface_890,Spline2D,Class defining a spline in 2D Space.,Object,false,0,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \GeometricElement\, \Geometry2D\, \Curve2D\, \Spline2D\",Unknown
interface_891,Split,Represents the split operation.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \AssemblyFeature\, \Split\",Unknown
interface_892,StepSettingAtt,The interface to access a CATIAStepSettingAtt.,Object,false,15,20,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SettingController\, \StepSettingAtt\",Unknown
interface_893,StiDBChildren,Represents all the Children of a CATIAStiDBItem.,Object,false,1,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StiDBChildren\",Unknown
interface_894,StiDBItem,"Represents the SmarTeam Integration Object, that is to say the Document coming from SmarTeam database.",Object,false,0,5,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StiDBItem\",It retrieves SmarTeam Document information. It is managed by StiEngine See also: StiEngine .
interface_895,StiEngine,"Represents the SmarTeam Integration Engine, that is to say the entry point to the CATIA/SmarTeam Integration.",Object,false,2,19,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StiEngine\",Unknown
interface_896,Stiffener,Represents the stiffener shape.,Object,false,4,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SketchBasedShape\, \Stiffener\",Unknown
interface_897,StrAnchorPoint,Represents an anchor point.,Object,false,0,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrAnchorPoint\",Unknown
interface_898,StrAnchorPoints,A collection of the anchor points of a section object.,Collection,true,0,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \StrAnchorPoints\",Unknown
interface_899,StrComputeServices,Represents a structure service object.,Object,true,0,7,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrComputeServices\",Unknown
interface_900,StrCutback,Represents the cutback object.,Object,false,2,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \AssemblyFeature\, \StrCutback\",Unknown
interface_901,StrFoundation,Represents a structure foundation assembly.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrFoundation\",Unknown
interface_902,StrFoundations,A collection of the Foundation objects contained in a given Product object of a ProductDocument object.,Collection,true,0,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \StrFoundations\",Unknown
interface_903,StrMember,Represents a member object.,Object,false,9,3,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Product\, \StrObject\, \StrMember\",Unknown
interface_904,StrMemberExtremity,Represents an extremity of a member object.,Object,false,5,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrMemberExtremity\",Unknown
interface_905,StrMembers,A collection of the Member objects contained in a given Product object of a ProductDocument object.,Collection,true,0,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \StrMembers\",Unknown
interface_906,StrObject,Represents a structure object.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Product\, \StrObject\",Unknown
interface_907,StrObjectFactory,Represents the factory object for all the structure objects.,Object,false,0,18,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrObjectFactory\",Unknown
interface_908,StrParam,Represents the string parameter.,Object,false,1,4,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Parameter\, \StrParam\",Unknown
interface_909,StrPlate,Represents a structure plate object.,Object,false,4,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Product\, \StrObject\, \StrPlate\",Unknown
interface_910,StrPlates,A collection of the Plate objects contained in a given Product object of a ProductDocument object.,Collection,true,0,2,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \Collection\, \StrPlates\",Unknown
interface_911,StrSection,Represents the section object.,Collection,true,5,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \StrSection\",Unknown
interface_912,StrWorkbench,Represents the structure workbench object.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Workbench\, \StrWorkbench\",Unknown
interface_913,SurfaceBasedShape,Represents the shapes based on Surface.,Object,false,1,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \Shape\, \SurfaceBasedShape\",Unknown
interface_914,Sweep,Represents the sweep shape.,Object,false,11,1,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \HybridShape\, \Sweep\",Unknown
interface_915,SweptVolume,Interface to access a CATIASweptVolume.,Object,false,0,0,"\IUnknown\, \IDispatch\, \CATBaseUnknown\, \CATBaseDispatch\, \AnyObject\, \SweptVolume\",Unknown
