id,name,description,parameter_type,parameter_order
parameter_750,iBeginOffset,,,4
parameter_751,iEndOffset,,,5
parameter_752,iOrientation,,,6
parameter_754,iObject,,,1
parameter_756,iSurface,,,1
parameter_757,iPoint,,,2
parameter_758,iBeginOffset,,,3
parameter_759,iEndOffset,,,4
parameter_760,iOrientation,,,5
parameter_762,iPt,,,1
parameter_763,iDirection,,,2
parameter_764,Direction,,,3
parameter_765,iBeginOffset,,,4
parameter_766,iEndOffset,,,5
parameter_767,iOrientation,,,6
parameter_769,iPt,,,1
parameter_770,iDirection,,,2
parameter_771,Direction,,,3
parameter_772,iSupport,,,4
parameter_773,iBeginOffset,,,5
parameter_774,iEndOffset,,,6
parameter_775,iOrientation,,,7
parameter_777,iPtOrigine,,,1
parameter_778,iPtExtremite,,,2
parameter_780,iPtOrigine,,,1
parameter_781,iPtExtremite,,,2
parameter_782,iBeginOffset,,,3
parameter_783,iEndOffset,,,4
parameter_785,iPtOrigine,,,1
parameter_786,iPtExtremite,,,2
parameter_787,iSupport,,,3
parameter_789,iPtOrigine,,,1
parameter_790,iPtExtremite,,,2
parameter_791,iSupport,,,3
parameter_792,iBeginOffset,,,4
parameter_793,iEndOffset,,,5
parameter_795,iCurve,,,1
parameter_796,iPoint,,,2
parameter_797,iBeginOffset,,,3
parameter_798,iEndOffset,,,4
parameter_799,iOrientation,,,5
parameter_801,iCurve,,,1
parameter_802,iPoint,,,2
parameter_803,iSupport,,,3
parameter_804,iBeginOffset,,,4
parameter_805,iEndOffset,,,5
parameter_806,iOrientation,,,6
parameter_809,iMirroringElement,,,1
parameter_810,iMultiElement,,,1
parameter_811,iReferenceElement,,,2
parameter_813,iObjectToOffset,,,1
parameter_814,iOffset,,,2
parameter_815,iOrientation,,,3
parameter_816,iPrecision,,,4
parameter_818,iSketch,,,1
parameter_819,iHeight,,,2
parameter_820,iProfileElt,,,1
parameter_821,iHeight,,,2
parameter_822,iPlanarCurve,,,1
parameter_824,iLn,,,1
parameter_825,iPt,,,2
parameter_827,iLn1,,,1
parameter_828,iLn2,,,2
parameter_830,iPt1,,,1
parameter_831,iPt2,,,2
parameter_832,iPt3,,,3
parameter_834,iPlane,,,1
parameter_835,iRevolAxis,,,2
parameter_836,iAngle,,,3
parameter_837,angle,,,4
parameter_838,iOrientation,,,5
parameter_840,iObject,,,1
parameter_842,iA_Coeff,,,1
parameter_843,iB_Coeff,,,2
parameter_844,iC_Coeff,,,3
parameter_845,iD_Coeff,,,4
parameter_848,iNbPoint,,,2
parameter_850,iCurve,,,1
parameter_851,iPt,,,2
parameter_853,iPlane,,,1
parameter_854,iOffset,,,2
parameter_855,iOrientation,,,3
parameter_857,iPlane,,,1
parameter_858,iPt,,,2
parameter_860,iSurface,,,1
parameter_861,iPt,,,2
parameter_863,iSketch,,,1
parameter_864,iDepth,,,2
parameter_865,iProfileElt,,,1
parameter_866,iDepth,,,2
parameter_867,iPoint1,,,1
parameter_868,iPoint2,,,2
parameter_869,iRatio,,,3
parameter_870,iOrientation,,,4
parameter_872,iCurve,,,1
parameter_874,iX,,,1
parameter_875,iY,,,2
parameter_876,iZ,,,3
parameter_878,iX,,,1
parameter_879,iY,,,2
parameter_880,iZ,,,3
parameter_881,iPt,,,4
parameter_883,iObject,,,1
parameter_885,iCrv,,,1
parameter_886,iLong,,,2
parameter_887,iOrientation,,,3
parameter_888,iDirection,,,4
parameter_890,iCrv,,,1
